file|line|emoji|code|context
src/app/about/page.tsx|76|✓|U+2713|✓
src/app/checkout/page.tsx|87|⚠|U+26A0|<div className="mb-3 text-4xl">⚠️</div>
src/app/checkout/page.tsx|87|️|U+FE0F|<div className="mb-3 text-4xl">⚠️</div>
src/app/checkout/page.tsx|189|✓|U+2713|✓
src/app/checkout/page.tsx|219|←|U+2190|← Back to shop
src/app/contact/page.tsx|124|✓|U+2713|✓
src/app/order-status/page.tsx|225|✓|U+2713|{i < idx ? "✓" : i + 1}
src/app/register/buyer/page.tsx|82|✓|U+2713|✓
src/app/register/farmer/page.tsx|134|✓|U+2713|✓
src/app/shop/page.tsx|243|🔍|U+1F50D|<div className="mb-3 text-5xl">🔍</div>
src/components/Chatbot.tsx|150|✕|U+2715|{open ? "✕" : "💬"}
src/components/Chatbot.tsx|150|💬|U+1F4AC|{open ? "✕" : "💬"}
src/components/Chatbot.tsx|162|🌾|U+1F33E|🌾
src/components/Chatbot.tsx|174|✕|U+2715|✕
src/components/Chatbot.tsx|248|➤|U+27A4|➤
src/components/LegalDoc.tsx|128|←|U+2190|← Back to home
src/components/Navbar.tsx|77|☰|U+2630|☰
src/components/Navbar.tsx|101|✕|U+2715|✕
src/lib/data.ts|117|🍅|U+1F345|{ name: "Tomato", emoji: "🍅", months: ["harvest","peak","peak","harvest","off","off","off","off","ha
src/lib/data.ts|118|🌽|U+1F33D|{ name: "Maize", emoji: "🌽", months: ["off","off","plant","plant","harvest","peak","peak","harvest",
src/lib/data.ts|119|🍠|U+1F360|{ name: "Yam", emoji: "🍠", months: ["harvest","harvest","off","off","plant","plant","off","off","har
src/lib/data.ts|120|🥬|U+1F96C|{ name: "Cassava", emoji: "🥬", months: ["harvest","harvest","harvest","harvest","harvest","harvest",
src/lib/data.ts|121|🍌|U+1F34C|{ name: "Plantain", emoji: "🍌", months: ["harvest","harvest","peak","peak","harvest","harvest","harv
src/lib/data.ts|122|🥭|U+1F96D|{ name: "Mango", emoji: "🥭", months: ["off","off","harvest","peak","peak","harvest","off","off","off
src/lib/data.ts|123|🌾|U+1F33E|{ name: "Rice", emoji: "🌾", months: ["off","off","off","plant","plant","harvest","peak","peak","harv
src/lib/data.ts|124|️|U+FE0F|{ name: "Pepper", emoji: "🌶️", months: ["peak","harvest","harvest","off","off","plant","plant","harv
src/lib/data.ts|124|🌶|U+1F336|{ name: "Pepper", emoji: "🌶️", months: ["peak","harvest","harvest","off","off","plant","plant","harv
src/lib/data.ts|125|🧅|U+1F9C5|{ name: "Onion", emoji: "🧅", months: ["peak","peak","harvest","off","off","off","plant","plant","har
src/lib/data.ts|126|🥜|U+1F95C|{ name: "Groundnut", emoji: "🥜", months: ["off","off","plant","plant","off","harvest","peak","peak",
src/lib/data.ts|127|🥚|U+1F95A|{ name: "Poultry / Eggs", emoji: "🥚", months: ["harvest","harvest","harvest","harvest","harvest","ha
